tmdb_id_tmdb,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb,averageRating,numVotes,primaryTitle,originalTitle,genres,startYear,tmdb_id_imdb,tmdb_id
718930,tt12593682,Bullet Train,Bullet Train,en,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",/j8szC8OgrejDQjjMKSVXyaAjw3V.jpg,2022-08-03,"Action, Comedy, Thriller",126,239300000,10.569,7.3,512973,Bullet Train,Bullet Train,"Action,Comedy,Thriller",2022.0,718930,718930
661374,tt11564570,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,en,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,/vDGr1YdrlfbU9wxTOdpf3zChmv9.jpg,2022-11-23,"Comedy, Crime, Mystery",140,15000000,4.9936,7.1,489413,Glass Onion,Glass Onion: A Knives Out Mystery,"Comedy,Crime,Drama",2022.0,661374,661374
569094,tt9362722,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,"Animation, Action, Adventure, Science Fiction",140,690897910,16.5727,8.5,488079,Spider-Man: Across the Spider-Verse,Spider-Man: Across the Spider-Verse,"Action,Adventure,Animation",2023.0,569094,569094
593643,tt9764362,The Menu,The Menu,en,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises.",/fPtUgMcLIboqlTlPrq0bQpKK8eq.jpg,2022-11-17,"Comedy, Horror, Thriller",107,79628200,7.36,7.2,477490,The Menu,The Menu,"Comedy,Horror,Thriller",2022.0,593643,593643
566525,tt9376612,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,en,Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,/d08HqqeBQSwN8i8MEvpsZ8Cb438.jpg,2021-09-01,"Action, Adventure, Fantasy",132,432243292,9.3531,7.3,476729,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,"Action,Adventure,Fantasy",2021.0,566525,566525
550988,tt6264654,Free Guy,Free Guy,en,"A bank teller discovers he is actually a background player in an open-world video game, and decides to become the hero of his own story. Now, in a world where there are no limits, he is determined to be the guy who saves his world his way before it's too late.",/6PFJrMvoQwBxQITLYHj09VeJ37q.jpg,2021-08-11,"Comedy, Adventure, Science Fiction",115,331526598,10.3422,7.1,475600,Free Guy,Free Guy,"Action,Adventure,Comedy",2021.0,550988,550988
370172,tt2382320,No Time to Die,No Time to Die,en,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",/iUgygt3fscRoKWCV1d0C7FbM9TP.jpg,2021-09-29,"Action, Thriller, Adventure",163,774153024,8.4962,7.3,475067,No Time to Die,No Time to Die,"Action,Adventure,Thriller",2021.0,370172,370172
497698,tt3480822,Black Widow,Black Widow,en,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",/7JPpIjhD2V0sKyFvhB9khUMa30d.jpg,2021-07-07,"Action, Adventure, Science Fiction",134,379751131,8.2428,6.6,466204,Black Widow,Black Widow,"Action,Adventure,Sci-Fi",2021.0,497698,497698
791373,tt12361974,Zack Snyder's Justice League,Zack Snyder's Justice League,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",/tnAuB8q5vv7Ax9UAEje5Xi4BXik.jpg,2021-03-18,"Action, Adventure, Fantasy",242,0,8.3099,7.9,465883,Zack Snyder's Justice League,Zack Snyder's Justice League,"Action,Adventure,Fantasy",2021.0,791373,791373
447365,tt6791350,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,en,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,2023-05-03,"Science Fiction, Adventure, Action, Comedy",150,845550000,12.567,7.9,451759,Guardians of the Galaxy Vol. 3,Guardians of the Galaxy Vol. 3,"Action,Adventure,Comedy",2023.0,447365,447365
