tmdb_id,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb
1232493,tt30953759,No Other Land,لا أرض أخرى,ar,This film made by a Palestinian-Israeli collective shows the destruction of the occupied West Bank's Masafer Yatta by Israeli soldiers and the alliance which develops between the Palestinian activist Basel and Israeli journalist Yuval.,/s7XYieuZg9kMe07i9VI4bfGN4Pw.jpg,2024-11-01,Documentary,92,3608606,2.7106
457232,tt5533370,Lamborghini: The Man Behind the Legend,Lamborghini: The Man Behind the Legend,en,"Follow the launch of Lamborghini’s career as a manufacturer of tractors, a creator of military vehicles during World War II, and the designer of Lamborghini cars, which he launched in 1963 as the high-end sports car company Automobili Lamborghini.",/RKgnYLhCNGCUkrhiCRrs40rEHe.jpg,2022-11-17,"Drama, History",97,0,3.7589
468225,tt5164438,The Starling,The Starling,en,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,/gPkaPGNbjZCeRurSYGi0JD63DBa.jpg,2021-09-17,Drama,102,0,12.4421
785398,tt19652910,EO,IO,pl,"The world is a mysterious place when seen through the eyes of an animal. EO, a grey donkey with melancholic eyes, meets good and bad people on his life’s path, experiences joy and pain, endures the wheel of fortune randomly turn his luck into disaster and his despair into unexpected bliss. But not even for a moment does he lose his innocence.",/1MK86Vr2nf1GSYOtRd8pFvA5RM8.jpg,2022-09-30,"Drama, Adventure",88,1068353,4.568
670428,tt11252440,PG: Psycho Goreman,PG: Psycho Goreman,en,"Siblings Mimi and Luke unwittingly resurrect an ancient alien overlord. Using a magical amulet, they force the monster to obey their childish whims, and accidentally attract a rogues’ gallery of intergalactic assassins to small-town suburbia.",/byvJImlUrJv9l0FNSeaSGgbqNYw.jpg,2020-10-29,"Science Fiction, Comedy, Horror",95,95384,2.3619
560204,tt9139586,Arkansas,Arkansas,en,"Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly.",/ieNGttYsxunAANK9LRZa4LdkEqi.jpg,2020-05-05,"Crime, Thriller, Action, Mystery",117,0,1.0286
799676,tt13349716,Shyam Singha Roy,శ్యామ్ సింగ రాయ్,te,"A young filmmaker is in a soup right when he’s about to find his footing in the film industry. When he sets out to find an answer, turns out it’s in the past.",/iU1vOMlnX2zdzL4lBeZuqQC2lgu.jpg,2021-12-24,"Romance, Thriller, Drama",157,0,3.0484
758879,tt13070602,A Castle for Christmas,A Castle for Christmas,en,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle -- and faces off with the grumpy duke who owns it.",/xhRbfdGRcEv6RUiAfWnER2pOCcU.jpg,2021-11-26,"Comedy, Adventure",98,0,1.7841
1156593,tt28510079,Your Fault,Culpa tuya,es,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,"Drama, Romance",118,0,26.755
932420,tt14764464,Code 8 Part II,Code 8 Part II,en,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",/h89INyaoH16CdlT7q7BtKikIFRy.jpg,2024-02-27,"Science Fiction, Action, Crime",101,0,8.5093
877703,tt15486810,Teen Wolf: The Movie,Teen Wolf: The Movie,en,"The wolves are howling once again, as a terrifying ancient evil emerges in Beacon Hills. Scott McCall, no longer a teenager yet still an Alpha, must gather new allies and reunite trusted friends to fight back against this powerful and deadly enemy.",/wAkpPm3wcHRqZl8XjUI3Y2chYq2.jpg,2023-01-18,"Action, Fantasy, TV Movie",140,0,5.1865
753453,tt14867006,V/H/S/94,V/H/S/94,en,"After the discovery of a mysterious VHS tape, a brutish police SWAT team launches a high-intensity raid on a remote warehouse, only to discover a sinister cult compound whose collection of pre-recorded material uncovers a nightmarish conspiracy.",/9fSogEkqDfJQTuGHsTFloQz3Tw8.jpg,2021-09-26,"Horror, Thriller",103,0,3.3958
